loss,val_loss,train_macro_f1,train_balanced_accuracy,val_macro_f1,val_balanced_accuracy,val_kappa,learning_rate
1.3254145383834839,1.4573125839233398,0.18819315369788558,0.26186953630445087,0.1868125637171347,0.26516352499959056,0.2616545187166226,9.999999747378752e-05
1.1880656480789185,0.9770489931106567,0.2681334465650343,0.28571088118710325,0.2722902343426611,0.2909582199980326,0.3000760657621049,9.999999747378752e-05
1.1491674184799194,0.9673813581466675,0.3379921555260864,0.3627374080168702,0.3525600274837754,0.37611646007430555,0.4002686981592869,9.999999747378752e-05
1.1110814809799194,1.1146091222763062,0.33398718415839407,0.39677055871197286,0.3362810054334028,0.41428967787281606,0.34286071693835274,9.999999747378752e-05
1.0842523574829102,0.948289155960083,0.3764001364405972,0.41487023516555327,0.3444578473077295,0.3895811933282659,0.3788567355239697,9.999999747378752e-05
1.0628985166549683,0.8890348672866821,0.3786818449539732,0.3992170340532089,0.3911903561633947,0.41576779445631906,0.4277615197559901,9.999999747378752e-05
1.0527418851852417,0.8829905986785889,0.38354958683301854,0.40998797702973544,0.3896412558277918,0.4115187236967096,0.4247094678990757,9.999999747378752e-05
1.0351707935333252,0.9263102412223816,0.3867573763789959,0.42463911135634447,0.3844439532140086,0.4282975363771616,0.41950708603497566,9.999999747378752e-05
1.0256190299987793,1.0909481048583984,0.364761391524386,0.4315657939118189,0.3347002379556646,0.4009101728071283,0.3287433886558453,9.999999747378752e-05
1.0034393072128296,0.9816858172416687,0.3966006836614996,0.45650433377935273,0.37765882336072926,0.43313208617658266,0.4058540973589516,2.9999999242136255e-05
0.9971436262130737,0.9341517686843872,0.40993997805941446,0.4617497401139918,0.3865355194867833,0.43746023476702633,0.42842247149778223,2.9999999242136255e-05
0.9976935982704163,0.9236226677894592,0.4152855180746929,0.4679305343581201,0.39728716039696244,0.4514134103127077,0.4312705635281764,2.9999999242136255e-05
0.9915206432342529,0.9627678990364075,0.39881541727056463,0.45809451441320753,0.38688251431396076,0.44563936179861235,0.4248529313884608,2.9999999242136255e-05
0.9861175417900085,0.9963108897209167,0.3961546021240228,0.4626259770285632,0.3680268091128176,0.4315957920173377,0.386340075977771,2.9999999242136255e-05
0.9824450612068176,0.969794750213623,0.4073337623864925,0.4638079904200527,0.37988290552000964,0.43308988941307447,0.41100425531914897,2.9999999242136255e-05
0.9726349711418152,0.8935375809669495,0.42091488567782304,0.46330509037299933,0.40090940885342874,0.4454639322320821,0.44373777870807196,8.999999408842996e-06
0.9705944061279297,0.8965539932250977,0.4287908622463053,0.476177997873644,0.400534783154277,0.4463251298145911,0.44478618786988844,8.999999408842996e-06
0.9749271869659424,0.8860684037208557,0.42640875876360546,0.4699676309952022,0.4075811305135573,0.4533582648336747,0.4446569688428047,8.999999408842996e-06
0.9674343466758728,0.8859233260154724,0.4285952671853286,0.47220009223206955,0.40081015926322333,0.4433670850532677,0.4421569459517537,8.999999408842996e-06
0.9654585719108582,0.8694726824760437,0.4290511700081683,0.469432495932873,0.41417358997475645,0.45883148014295555,0.45152323872400035,8.999999408842996e-06
0.9689227938652039,0.878315806388855,0.42881798789093095,0.4715162830122902,0.4110185879599438,0.4556701237029106,0.4471053504822452,8.999999408842996e-06
0.9629806280136108,0.8796811103820801,0.4299608977689248,0.4730959359404375,0.4033347240854867,0.4483997615145156,0.4358779136743991,8.999999408842996e-06
0.9661062955856323,0.8679277896881104,0.42993754437042003,0.47049004816135426,0.409565777433015,0.45352192483340026,0.44428183224861073,8.999999408842996e-06
0.9565417766571045,0.8212002515792847,0.43567272636274773,0.46025020768533403,0.4242337108968815,0.4541410295508656,0.4603703955482612,2.699999868127634e-06
0.9687759876251221,0.823699414730072,0.4335311319405721,0.4592483942731394,0.4234096336178332,0.4552151289856208,0.4616627687752741,2.699999868127634e-06
0.9620001912117004,0.8258460760116577,0.43480817765641017,0.46223289272475326,0.4262372104674272,0.4580137334235695,0.4686483131707827,2.699999868127634e-06
0.9609681367874146,0.8220014572143555,0.4342325241073072,0.46018954489490094,0.42441697428801417,0.45542803083786687,0.46227674018822296,2.699999868127634e-06
0.9635552763938904,0.8223726153373718,0.43257682699472894,0.45918510585243005,0.4220137904489764,0.45268077809061413,0.46034838413935364,2.699999868127634e-06
0.9607040286064148,0.8247734308242798,0.4335692473237491,0.4607307578351526,0.4225923434373681,0.45376657753706934,0.4616022618708493,2.699999868127634e-06
0.9550505876541138,0.8141477108001709,0.4283366963773282,0.4504736666309907,0.41788231490108013,0.44361998214457227,0.4529083674821388,9.999999974752427e-07
