loss,val_loss,train_macro_f1,train_balanced_accuracy,val_macro_f1,val_balanced_accuracy,val_kappa,learning_rate
1.2199654579162598,0.6997425556182861,0.5090944726031363,0.48384371701808154,0.490375041781116,0.45638241118334794,0.540279631214534,9.999999747378752e-06
0.8569853901863098,0.6343688368797302,0.621939708946826,0.6054192264450392,0.5522273078285933,0.5218464490127254,0.5703811331530412,9.999999747378752e-06
0.7198582887649536,0.580748975276947,0.6870453289015125,0.697726687680677,0.5920532742745209,0.5783423825578392,0.6023236534464322,9.999999747378752e-06
0.6248387694358826,0.5498281121253967,0.7525048881959595,0.76931452449369,0.6288451852961581,0.6364912573343486,0.6439156914711845,9.999999747378752e-06
0.5440633296966553,0.5658861398696899,0.763236055779453,0.7676001619637944,0.6197593721024435,0.6073755864153991,0.6445542234469617,9.999999747378752e-06
0.4890531897544861,0.5460727214813232,0.8033579389976013,0.8259193186699353,0.620943597759393,0.623324398031658,0.6470130556945313,9.999999747378752e-06
0.4244045615196228,0.5594390630722046,0.8331835644420357,0.8476177634872937,0.6362464366481507,0.6227214343139401,0.6468115961235188,9.999999747378752e-06
0.3817618489265442,0.6025897860527039,0.8511731391073096,0.8454312994270646,0.6880726509345765,0.6574087599848725,0.6770447308327473,9.999999747378752e-06
0.34023424983024597,0.6441627144813538,0.8668718401804113,0.8321238033004933,0.6608693706074297,0.6009043270167391,0.6561223769524751,9.999999747378752e-06
0.30639219284057617,0.6036754250526428,0.8958576352171964,0.891776868278981,0.6757153202602569,0.6545916391349647,0.680312241030604,9.999999747378752e-06
0.27383098006248474,0.5697504281997681,0.9252492829282157,0.9173003596272826,0.7348169902936261,0.6956198147064657,0.6967909464382606,9.999999747378752e-06
0.2527790665626526,0.6410119533538818,0.9182390515811958,0.9223810458679124,0.7014415188822801,0.6803482706293009,0.6669131353755376,9.999999747378752e-06
0.21893690526485443,0.7030989527702332,0.9042709132128968,0.9202917475991266,0.6818331089145389,0.6919813766417983,0.6815633747252541,9.999999747378752e-06
0.20396262407302856,0.714983344078064,0.8954081245520459,0.908557146461854,0.6793046644505351,0.6798026709033734,0.6886114271389729,9.999999747378752e-06
0.1556454598903656,0.6931849718093872,0.9518145662026344,0.9394521260975444,0.7184047441035454,0.6663149770878107,0.7047667078102894,2.9999998787388904e-06
0.14241629838943481,0.77149498462677,0.9424556581460707,0.9307543601788704,0.697782312243721,0.6556076031485868,0.6980321861846992,2.9999998787388904e-06
0.1376359611749649,0.7679107785224915,0.9442528476121136,0.9335156028574005,0.6966948138686017,0.6598467222589001,0.6866120866951432,2.9999998787388904e-06
0.12480871379375458,0.6898288130760193,0.9634173574346623,0.9610326354046802,0.7307593378897943,0.6922195849596318,0.7202135302029836,9.999999974752427e-07
0.11380769312381744,0.7105594277381897,0.9648080337197557,0.964243565795429,0.7237755183733716,0.6903661363848717,0.7178092469286317,9.999999974752427e-07
0.11298687756061554,0.7220692038536072,0.9646191039369668,0.9656185255409943,0.7236624600211015,0.6939487817707958,0.7098767429070557,9.999999974752427e-07
0.11109226197004318,0.7741748094558716,0.9605430245371782,0.9544554249880093,0.7199840781904961,0.6705388214755895,0.7030620833776763,9.999999974752427e-07
